#Feeder,Feeder ID,Skip,Pos X,Pos Y,Angle,Footprint,Comment,Nozzle,Pick Height,Pick Delay,Move Speed,Place Height,Place Delay,Place Speed,Accuracy,Width,Length,Thickness,Size Analyze,Tray X,Tray Y,Columns,Rows,Right Top X,Right Top Y,Vision Model,Brightness,Vision Error,Vision Flash,Feeder Type,NoisyPoint
Feeder,5,NO,90.408,9.812,0,0402_R,2K,12345,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,6,NO,111.197,10.03,0,0805_C,22uF,123456,-2,5,100,0.6,1,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,8,NO,152.73,9.69,0,MicroSD_-_DM3C-SF,MicroSD,12345678,-2,5,70,0.5,1,50,High Accuracy,14,14,1.75,NO,1,1,,,0,0,IC Rotate Calib,80,,7,Pneumatic,1
Feeder,10,NO,195.757,8.904,0,0201_C,0.1uF,12345678,-1.8,5,100,0.3,1,100,High Accuracy,0.3,0.6,0.3,NO,1,1,,,0,0,Fly Calib,80,,7,Electric,1
Feeder,11,NO,216.213,9.969,0,0402_C,4.7uF,12345678,-1.6,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,12,NO,237.069,9.843,0,0402_R,1K,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,13,NO,258.109,9.954,0,0402_R,240,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,14,YES,277.8,8.1,0,SOT23-6,24AA025E48,12345678,-1.8,5,100,1,1,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,16,NO,321.515,13.564,0,EN5399,EN5339QI,12345678,-1.8,5,70,0.3,1,50,High Accuracy,4,6,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
Feeder,24,NO,573.271,9.692,0,EP53A8,EP53A8LQI,12345678,-1.8,5,70,0.3,1,50,High Accuracy,3,3,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
Feeder,26,NO,615.083,9.946,0,0402_C,10pF,12345678,-1.6,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,27,NO,636.342,10,0,0402_C,1uF,2345678,-1.6,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,28,NO,656.973,9.766,0,0402_C,22nF,345678,-1.6,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,29,NO,677.844,9.766,0,0402_R,100,45678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,30,NO,699.196,9.968,0,0402_R,10K,5678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,31,NO,720.053,9.883,0,0805_C,10uF,678,-2,5,100,0.6,1,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,44,NO,212.046,519.006,180,0402_R,348K,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,45,NO,233.009,519.025,180,0402_R,412K,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,46,NO,254.045,518.984,180,0402_R,5.62K,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,47,NO,274.904,518.995,180,OPT_RES_0402,0ohm,12345678,-1.8,5,100,0.3,1,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,49,YES,316.4,513.1,180,SOT23-5,RT9193-25GB,12345678,-1.8,5,100,1,1,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PCB,Columns,Rows,Left Bottom X,Left Bottom Y,Left Top X,Left Top Y,Right Top X,Right Top Y,Mirror Board Left Bottom X,Mirror Board Left Bottom Y,Panelize Board Angle,Mirror Board,Marked Panel X,Marked Panel Y,Marked Panel Value,Manual Program,Feed PCB,Panelized Mark Point,PCB Width,PCB Length,Safe height,Manual Mark,Test,Detect X,Detect Y,Long PCB Input,,,,,
PCB,3,1,367.46,157.63,325,325,447.44,157.63,0,0,,1,0,0,,NO,1,YES,81.2,115,4.5,NO,,298.05,126.32,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Panel,Pos X,Pos Y,Offset X,Offset Y,Angle,Skip,Position,,,,,,,,,,,,,,,,,,,,,,,,
Panel,367.46,157.63,0,0,0,NO,Align,,,,,,,,,,,,,,,,,,,,,,,,
Panel,407.45,157.63,0,0,0,NO,Align,,,,,,,,,,,,,,,,,,,,,,,,
Panel,447.44,157.63,0,0,0,NO,Align,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nozzle,NozzleID,Nozzle Type,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,1,CN040,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,2,CN040,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,3,CN040,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,4,CN040,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,5,CN040,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,6,CN065,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,7,CN400,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nozzle,8,CN750,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mark,Pos X,Pos Y,Min Size,Max Size,Flash,Brightness,Searching Area,Circular Similarity,Nested Mode,Select Camera,Position,,,,,,,,,,,,,,,,,,,,
Mark,14.39,9.46,1,2.3,Middle,30,4,80,White Point,Left Camera,,,,,,,,,,,,,,,,,,,,,
Mark,3.98,40.98,1,2.3,Middle,30,4,80,White Point,Left Camera,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Comp,Feeder ID,Comment,Footprint,Designatior,NozzleNumber,Pos X,Pos Y,Angle,Skip,Position,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C21,1,25.7,55.22,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C3,2,12.04,17.247,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,12,1K,0402_R,R1,3,6.477,1.651,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,13,240,0402_R,R5,4,25.632,8.407,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,5,2K,0402_R,R8,5,14.659,41.351,-90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,6,22uF,0805_C,C19,6,6.477,52.578,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,16,EN5339QI,EN5399,U8,7,5.766,56.236,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,8,MicroSD,MicroSD_-_DM3C-SF,P1,8,17.265,55.222,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,10,0.1uF,0201_C,C10,1,24.816,32.588,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,11,4.7uF,0402_C,C2,2,25.654,5.486,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,12,1K,0402_R,R2,3,6.477,3.429,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,13,240,0402_R,R6,4,12.145,8.458,90,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,5,2K,0402_R,R7,5,4.296,18.923,0,NO,Align,,,,,,,,,,,,,,,,,,,,,
Comp,6,22uF,0805_C,C22,6,6.375,59.741,180,NO,Align,,,,,,,,,,,,,,,,,,,,,
