Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Comment
U4,BGA484C80P22X22_1900X1900X190,14.3850mm,30.6000mm,14.3850mm,30.6000mm,22.7850mm,39.0000mm,TopLayer,270,5CSEBA6U19C8N
U1,SOT23-6,3.2292mm,2.6162mm,3.2292mm,2.6162mm,4.3292mm,1.6662mm,TopLayer,90,24AA025E48
R1,0402_R,6.4770mm,1.6510mm,6.4770mm,1.6510mm,5.9770mm,1.6510mm,TopLayer,0,1K
R2,0402_R,6.4770mm,3.4290mm,6.4770mm,3.4290mm,5.9770mm,3.4290mm,TopLayer,0,1K
U7,EP53A8,6.4516mm,44.5262mm,6.4516mm,44.5262mm,7.7016mm,45.9262mm,TopLayer,270,EP53A8LQI
R12,0402_R,3.9370mm,52.6288mm,3.9370mm,52.6288mm,3.9370mm,53.1288mm,TopLayer,270,10K
R8,0402_R,14.6592mm,41.3512mm,14.6592mm,41.3512mm,14.6592mm,41.8512mm,TopLayer,270,2K
R7,0402_R,4.2960mm,18.9230mm,4.2960mm,18.9230mm,4.7960mm,18.9230mm,TopLayer,180,2K
C21,0201_C,25.7048mm,55.2196mm,25.7048mm,55.2196mm,25.4048mm,55.2196mm,TopLayer,0,0.1uF
C3,0402_C,12.0396mm,17.2466mm,12.0396mm,17.2466mm,12.0396mm,17.7466mm,TopLayer,270,4.7uF
C10,0201_C,24.8158mm,32.5882mm,24.8158mm,32.5882mm,24.5158mm,32.5882mm,TopLayer,0,0.1uF
C7,0201_C,24.8920mm,26.6192mm,24.8920mm,26.6192mm,24.5920mm,26.6192mm,TopLayer,0,0.1uF
C6,0201_C,24.8920mm,24.5618mm,24.8920mm,24.5618mm,24.5920mm,24.5618mm,TopLayer,0,0.1uF
C12,0201_C,3.9878mm,34.9758mm,3.9878mm,34.9758mm,4.2878mm,34.9758mm,TopLayer,180,0.1uF
C14,0201_C,3.9878mm,36.6268mm,3.9878mm,36.6268mm,3.6878mm,36.6268mm,TopLayer,0,0.1uF
C9,0201_C,4.1402mm,32.1818mm,4.1402mm,32.1818mm,3.8402mm,32.1818mm,TopLayer,0,0.1uF
C11,0201_C,4.1402mm,32.9692mm,4.1402mm,32.9692mm,4.4402mm,32.9692mm,TopLayer,180,0.1uF
C8,0201_C,4.2164mm,27.0002mm,4.2164mm,27.0002mm,4.5164mm,27.0002mm,TopLayer,180,0.1uF
C5,0201_C,4.0894mm,23.3934mm,4.0894mm,23.3934mm,4.0894mm,23.0934mm,TopLayer,90,0.1uF
C13,0201_C,24.8158mm,36.1950mm,24.8158mm,36.1950mm,25.1158mm,36.1950mm,TopLayer,180,0.1uF
C2,0402_C,25.6540mm,5.4864mm,25.6540mm,5.4864mm,25.6540mm,4.9864mm,TopLayer,90,4.7uF
C4,0402_C,25.8064mm,17.3228mm,25.8064mm,17.3228mm,25.8064mm,17.8228mm,TopLayer,270,4.7uF
C1,0402_C,12.0904mm,5.3086mm,12.0904mm,5.3086mm,12.0904mm,4.8086mm,TopLayer,90,4.7uF
C15,0402_C,9.1694mm,43.8404mm,9.1694mm,43.8404mm,9.1694mm,43.3404mm,TopLayer,90,4.7uF
C17,0805_C,3.5052mm,45.8216mm,3.5052mm,45.8216mm,3.5052mm,44.8216mm,TopLayer,90,10uF
