Footprint,Length(mm),Width(mm),Thick(mm),Nozzle Type,Speed(%),Pick delay (ms),Place delay (ms),Accuracy,Capture type,Brightness,Feeder Type
01005_R,0.4,0.2,0.13,CN030,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0201_R,0.6,0.3,0.23,CN040,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0402_R,1,0.5,0.35,CN040,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0603_R,1.6,0.8,0.45,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
0805_R,2,1.27,0.55,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
1206_R,3.2,1.6,0.55,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
1210_R,3.2,2.5,0.55,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
1812_R,4.6,3.2,0.55,CN140,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
2010_R,5,2.5,0.55,CN140,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
2512_R,6.35,3.2,0.55,CN140,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
01005_C,0.4,0.2,0.2,CN030,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0201_C,0.6,0.3,0.3,CN040,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0402_C,1,0.5,0.5,CN040,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
0603_C,1.6,0.8,0.8,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
0805_C,2,1.27,1.27,CN065,100,0,0,High Speed,Fly Calib,80,Feeder 8mm
1206_C,3.2,1.6,1.6,CN065,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
1210_C,3.2,2.5,2.5,CN065,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
1812_C,4.6,3.2,3.2,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
2010_C,5,2.5,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
2512_C,6.35,3.2,3.2,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
BGA484C80P22X22_1900X1900X190,14,14,1.2,CN400,40,20,20,High Speed,Fly Calib,80,
BGA96C80P16X9_1400X900X120,14,14,1.2,CN400,40,20,20,High Speed,Fly Calib,80,
EN5399,4,6,1.1,CN400,50,20,20,High Speed,Fly Calib,80,
EP53A8,3,3,1.1,CN400,50,20,20,High Speed,Fly Calib,80,
OPT_RES_0402,0.5,1,0.35,CN040,100,20,20,High Speed,Fly Calib,80,
SOT23-5,2.225,2.7,1.17,CN065,100,20,20,High Speed,Fly Calib,80,
SOT23-6,2.225,2.7,1.17,CN065,100,20,20,High Speed,Fly Calib,80,
MicroSD_-_DM3C-SF,14,14,1.75,CN750,50,20,20,High Speed,Fly Calib,80,
A-3216,3.2,1.2,1.6,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
B-3528,3.5,2.2,1.9,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
C-6032,6,2.2,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
D-7343,7.3,2.4,2.8,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
DO-213AA,3.5,1.6,1.6,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 8mm
DO-213AB,5,2.5,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
DO-214,5.74,1.52,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
DO-214AA(SMD),5.5,2.1,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
DO-214AB(SMC),8,2.1,2.5,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 16mm
DO-214AC(SMA),5.3,1.6,2.4,CN140,100,20,20,High Speed,Fly Calib,80,Feeder 12mm
