#Feeder,Feeder ID,Skip,Pos X,Pos Y,Angle,Footprint,Comment,Nozzle,Pick Height,Pick Delay,Move Speed,Place Height,Place Delay,Place Speed,Accuracy,Width,Length,Thickness,Size Analyze,Tray X,Tray Y,Columns,Rows,Right Top X,Right Top Y,Vision Model,Brightness,Vision Error,Vision Flash,Feeder Type,NoisyPoint
Feeder,11,NO,216.213,9.969,0,SOT23-6,24AA025E48,12345678,0.9,0,100,1,0,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,12,NO,237.069,9.843,0,0402_R,240,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,13,NO,258.109,9.954,0,0402_R,2K,12345,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,14,YES,277.8,8.1,0,0402_R,1K,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,15,NO,300.43,9.99,0,0402_C,4.7uF,12345678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,16,NO,321.515,13.564,0,0201_C,0.1uF,12345678,0.9,20,100,0.3,20,100,High Accuracy,0.3,0.6,0.3,NO,1,1,,,0,0,Fly Calib,80,,7,Electric,1
Feeder,17,NO,342.19,9.81,0,0805_C,22uF,456,0.5,0,100,1.1,0,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,18,NO,447.06,9.64,0,0402_R,348K,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,20,NO,487.8,8.1,0,MicroSD_-_DM3C-SF,MicroSD,12345678,1,20,70,0.5,20,50,High Accuracy,14,14,1.75,NO,1,1,,,0,0,IC Rotate Calib,80,,7,Pneumatic,1
Feeder,22,NO,530.91,9.82,0,0402_C,22nF,345678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,23,NO,551.97,9.68,0,0402_R,412K,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,25,NO,594.09,9.78,0,0402_C,1uF,2345678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,44,NO,212.046,519.006,180,EN5399,EN5339QI,12345678,0.9,20,70,0.3,20,50,High Accuracy,4,6,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
Feeder,45,NO,233.009,519.025,180,SOT23-5,RT9193-25GB,12345678,0.9,0,100,1,0,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,46,NO,254.045,518.984,180,0402_R,100,45678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,48,NO,295.4,513.1,180,0402_R,5.62K,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,49,YES,316.4,513.1,180,0805_C,10uF,678,1,0,100,0.6,0,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,51,NO,442.56,516.91,180,OPT_RES_0402,0ohm,12345678,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,53,NO,484.4,513.1,180,0402_C,10pF,12345678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
Feeder,54,NO,505.84,511.21,180,EP53A8,EP53A8LQI,12345678,0.9,20,70,0.3,20,50,High Accuracy,3,3,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
Feeder,55,NO,526.6,516.05,180,0402_R,10K,5678,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1

#PCB,Columns,Rows,Left Bottom X,Left Bottom Y,Left Top X,Left Top Y,Right Top X,Right Top Y,Mirror Board Left Bottom X,Mirror Board Left Bottom Y,Panelize Board Angle,Mirror Board,Marked Panel X,Marked Panel Y,Marked Panel Value,Manual Program,Feed PCB,Panelized Mark Point,PCB Width,PCB Length,Safe height,Manual Mark,Test,Detect X,Detect Y,Long PCB Input
PCB,3,1,367.46,157.63,325,325,447.44,157.63,0,0,,1,0,0,,NO,1,YES,81.2,115,4.5,NO,,298.05,126.32,

#Panel,Pos X,Pos Y,Offset X,Offset Y,Angle,Skip,Position
Panel,367.46,157.63,0,0,0,NO,Align
Panel,407.45,157.63,0,0,0,NO,Align
Panel,447.44,157.63,0,0,0,NO,Align

#Nozzle,NozzleID,Nozzle Type,Disabled
Nozzle,1,CN040,NO
Nozzle,2,CN040,NO
Nozzle,3,CN040,NO
Nozzle,4,CN040,NO
Nozzle,5,CN040,NO
Nozzle,6,CN065,NO
Nozzle,7,CN400,NO
Nozzle,8,CN750,NO

#Mark,Pos X,Pos Y,Min Size,Max Size,Flash,Brightness,Searching Area,Circular Similarity,Nested Mode,Select Camera,Position
Mark,14.39,9.46,1,2.3,Middle,30,4,80,White Point,Left Camera,
Mark,3.98,40.98,1,2.3,Middle,30,4,80,White Point,Left Camera,

#Comp,Feeder ID,Comment,Footprint,Designatior,NozzleNumber,Pos X,Pos Y,Angle,Skip,Position
Comp,12,240,0402_R,R5,1,25.6320mm,8.4074mm,90,No,Align
Comp,13,2K,0402_R,R8,2,14.6592mm,41.3512mm,270,No,Align
Comp,14,1K,0402_R,R1,3,6.4770mm,1.6510mm,0,No,Align
Comp,15,4.7uF,0402_C,C3,4,12.0396mm,17.2466mm,270,No,Align
Comp,16,0.1uF,0201_C,C21,5,25.7048mm,55.2196mm,0,No,Align
Comp,17,22uF,0805_C,C19,6,6.4770mm,52.5780mm,0,No,Align
Comp,20,EN5339QI,EN5399,U8,7,5.7658mm,56.2356mm,180,No,Align
Comp,27,MicroSD,MicroSD_-_DM3C-SF,P1,8,17.2648mm,55.2216mm,90,No,Align
Comp,12,240,0402_R,R6,1,12.1446mm,8.4582mm,90,No,Align
Comp,13,2K,0402_R,R7,2,4.2960mm,18.9230mm,180,No,Align
Comp,14,1K,0402_R,R2,3,6.4770mm,3.4290mm,0,No,Align
Comp,15,4.7uF,0402_C,C2,4,25.6540mm,5.4864mm,90,No,Align
Comp,16,0.1uF,0201_C,C10,5,24.8158mm,32.5882mm,0,No,Align
Comp,17,22uF,0805_C,C22,6,6.3754mm,59.7408mm,180,No,Align
Comp,25,EP53A8LQI,EP53A8,U7,7,6.4516mm,44.5262mm,270,No,Align
Comp,50,1uF,0402_C,C20,1,1.7780mm,54.4830mm,90,No,Align
Comp,51,0ohm,OPT_RES_0402,OP1,2,4.9530mm,66.0400mm,180,No,Align
Comp,52,412K,0402_R,R14,3,2.4130mm,61.4680mm,180,No,Align
Comp,54,5.62K,0402_R,R13,4,1.8542mm,59.7662mm,270,No,Align
Comp,55,22nF,0402_C,C16,5,14.4272mm,44.5262mm,270,No,Align
Comp,56,10uF,0805_C,C17,6,3.5052mm,45.8216mm,90,No,Align
Comp,14,1K,0402_R,R4,1,20.2692mm,3.6322mm,180,No,Align
Comp,15,4.7uF,0402_C,C4,2,25.8064mm,17.3228mm,270,No,Align
Comp,16,0.1uF,0201_C,C7,3,24.8920mm,26.6192mm,0,No,Align
Comp,18,348K,0402_R,R15,4,1.9558mm,63.0174mm,270,No,Align
Comp,19,100,0402_R,R9,5,7.2136mm,41.9608mm,180,No,Align
Comp,24,RT9193-25GB,SOT23-5,U6,6,12.0650mm,43.8912mm,180,No,Align
Comp,14,1K,0402_R,R3,1,17.6530mm,3.6322mm,180,No,Align
Comp,15,4.7uF,0402_C,C1,2,12.0904mm,5.3086mm,90,No,Align
Comp,16,0.1uF,0201_C,C6,3,24.8920mm,24.5618mm,0,No,Align
Comp,21,10pF,0402_C,C24,4,2.8956mm,63.0174mm,270,No,Align
Comp,22,10K,0402_R,R12,5,3.9370mm,52.6288mm,270,No,Align
Comp,11,24AA025E48,SOT23-6,U1,6,3.2292mm,2.6162mm,90,No,Align
Comp,15,4.7uF,0402_C,C15,1,9.1694mm,43.8404mm,90,No,Align
Comp,16,0.1uF,0201_C,C12,2,3.9878mm,34.9758mm,180,No,Align
Comp,15,4.7uF,0402_C,C18,3,11.6078mm,46.6598mm,0,No,Align
Comp,16,0.1uF,0201_C,C14,4,3.9878mm,36.6268mm,0,No,Align
Comp,16,0.1uF,0201_C,C9,5,4.1402mm,32.1818mm,0,No,Align
Comp,17,22uF,0805_C,C23,6,6.3754mm,61.6458mm,180,No,Align
Comp,16,0.1uF,0201_C,C11,1,4.1402mm,32.9692mm,180,No,Align
Comp,16,0.1uF,0201_C,C8,2,4.2164mm,27.0002mm,180,No,Align
Comp,16,0.1uF,0201_C,C5,3,4.0894mm,23.3934mm,90,No,Align
Comp,16,0.1uF,0201_C,C13,4,24.8158mm,36.1950mm,180,No,Align
Comp,17,22uF,0805_C,C25,6,6.3754mm,63.5508mm,180,No,Align
